time,household_power,solar_power,wind_power,PKR/kWh,House&RW_load,total_cost
01/01/2019 5:00,10760392.35,0,2611589.68,17.5,10760392.35,188306866.1
01/01/2019 6:00,10760398.77,0,6257454.902,17.5,10760398.77,188306978.4
01/01/2019 7:00,10760400.29,73821.551,13524401.52,17.5,10760400.29,188307005.1
01/01/2019 8:00,10760398.47,1582468.394,17059999.83,17.5,10760398.47,188306973.2
01/01/2019 9:00,10760398.78,4016124.087,10177352.39,17.5,10760398.78,188306978.7
01/01/2019 10:00,10760407.04,7402321.24,3417941.364,17.5,10760407.04,188307123.1
01/01/2019 11:00,10760424.1,13348893.68,1476147.536,17.5,10760424.1,188307421.8
01/01/2019 12:00,10760434.75,19758829.96,3270386.783,17.5,10760434.75,188307608.1
01/01/2019 13:00,10760436.16,21315031.56,6541287.757,17.5,10760436.16,188307632.9
01/01/2019 14:00,10760427.25,13863516.03,9471189.317,17.5,10760427.25,188307476.9
01/01/2019 15:00,10760411.51,7717982.28,14103215.91,17.5,10760411.51,188307201.4
01/01/2019 16:00,10760396.21,1914634.623,26196856.96,17.5,10760396.21,188306933.6
01/01/2019 17:00,10760380.9,0,34575321.8,17.5,10760380.9,188306665.8
01/01/2019 18:00,10760364.64,0,35892232.01,17.5,10760364.64,188306381.2
01/01/2019 19:00,10760352.91,0,33008105.98,17.5,10760352.91,188306175.9
01/01/2019 20:00,10760351.61,0,29716302.38,17.5,10760351.61,188306153.1
01/01/2019 21:00,10760368.33,0,27308446.05,17.5,10760368.33,188306445.8
01/01/2019 22:00,10760399.33,0,25764051.65,17.5,10760399.33,188306988.2
01/01/2019 23:00,10760404.75,0,23252576.69,17.5,10760404.75,188307083.2
02/01/2019 0:00,10760383.36,0,20154574.48,17.5,10760383.36,188306708.9
02/01/2019 1:00,10760368.33,0,17204142.31,17.5,10760368.33,188306445.7
02/01/2019 2:00,10760373.52,0,14991572.86,17.5,10760373.52,188306536.5
02/01/2019 3:00,10760379.77,0,12691356.43,17.5,10760379.77,188306645.9
02/01/2019 4:00,10760378.25,0,10867857.79,17.5,10760378.25,188306619.4
02/01/2019 5:00,10760387.32,0,10245686.06,17.5,10760387.32,188306778.2
02/01/2019 6:00,10760392.75,0,9673597.37,17.5,10760392.75,188306873.1
02/01/2019 7:00,10760393.38,1168085.206,8903787.667,17.5,10760393.38,188306884.1
02/01/2019 8:00,10760390.76,10201603.77,4850260.051,17.5,10760390.76,188306838.2
02/01/2019 9:00,10760390.28,20631345.05,2027413.881,17.5,10760390.28,188306829.9
02/01/2019 10:00,10760397.61,27990302.54,1041138.322,17.5,10760397.61,188306958.1
02/01/2019 11:00,10760413.54,30362376.99,436614.696,17.5,10760413.54,188307237
02/01/2019 12:00,10760423.21,30897432.18,103270.413,17.5,10760423.21,188307406.2
02/01/2019 13:00,10760423.92,28402383.73,39308.113,17.5,10760423.92,188307418.7
02/01/2019 14:00,10760414.65,21450644.38,50278.78,17.5,10760414.65,188307256.4
02/01/2019 15:00,10760398.84,13155612.7,164508.088,17.5,10760398.84,188306979.6
02/01/2019 16:00,10760383.53,3972947.553,1241528.212,17.5,10760383.53,188306711.7
02/01/2019 17:00,10760368.29,0,4329368.948,17.5,10760368.29,188306445.1
02/01/2019 18:00,10760352.21,0,7530477.644,17.5,10760352.21,188306163.6
02/01/2019 19:00,10760340.57,0,7744731.721,17.5,10760340.57,188305959.9
02/01/2019 20:00,10760339.04,0,5329902.808,17.5,10760339.04,188305933.1
02/01/2019 21:00,10760354.92,0,2141184.041,17.5,10760354.92,188306211.1
02/01/2019 22:00,10760384.58,0,1475899.7,17.5,10760384.58,188306730.1
02/01/2019 23:00,10760389.62,0,3131748.651,17.5,10760389.62,188306818.4
03/01/2019 0:00,10760368.9,0,5842436.391,17.5,10760368.9,188306455.8
03/01/2019 1:00,10760354.35,0,7532454.463,17.5,10760354.35,188306201.1
03/01/2019 2:00,10760359.3,0,7810153.445,17.5,10760359.3,188306287.7
03/01/2019 3:00,10760365.31,0,7152066.635,17.5,10760365.31,188306392.9
03/01/2019 4:00,10760363.9,0,6145412.931,17.5,10760363.9,188306368.2
03/01/2019 5:00,10760372.71,0,5327340.43,17.5,10760372.71,188306522.4
03/01/2019 6:00,10760378.06,0,4481363.243,17.5,10760378.06,188306616.1
03/01/2019 7:00,10760378.84,821857.267,4270091.691,17.5,10760378.84,188306629.7
03/01/2019 8:00,10760376.54,7130019.256,3401704.296,17.5,10760376.54,188306589.4
03/01/2019 9:00,10760376.34,15842605.1,864738.335,17.5,10760376.34,188306586
03/01/2019 10:00,10760383.73,22767802.49,52940.711,17.5,10760383.73,188306715.2
03/01/2019 11:00,10760399.49,30106176.58,0,17.5,10760399.49,188306991
03/01/2019 12:00,10760409.26,30697669.23,15894.822,17.5,10760409.26,188307162.1
03/01/2019 13:00,10760410.44,28075211.43,40126.484,17.5,10760410.44,188307182.7
03/01/2019 14:00,10760401.99,20103770.96,25493.015,17.5,10760401.99,188307034.8
03/01/2019 15:00,10760387.21,11979527.22,33776.328,17.5,10760387.21,188306776.1
03/01/2019 16:00,10760372.92,3427899.693,406814.508,17.5,10760372.92,188306526.1
03/01/2019 17:00,10760358.71,0,1377873.84,17.5,10760358.71,188306277.4
03/01/2019 18:00,10760343.65,0,1454903.601,17.5,10760343.65,188306013.9
03/01/2019 19:00,10760332.93,0,940139.527,17.5,10760332.93,188305826.2
03/01/2019 20:00,10760332.1,0,665179.669,17.5,10760332.1,188305811.7
03/01/2019 21:00,10760348.39,0,261615.181,17.5,10760348.39,188306096.8
03/01/2019 22:00,10760378.32,0,96479.574,17.5,10760378.32,188306620.5
03/01/2019 23:00,10760384.14,0,139748.392,17.5,10760384.14,188306722.4
04/01/2019 0:00,10760364.53,0,147727.368,17.5,10760364.53,188306379.3
04/01/2019 1:00,10760350.96,0,428156.309,17.5,10760350.96,188306141.7
04/01/2019 2:00,10760356.69,0,693892.323,17.5,10760356.69,188306242.1
04/01/2019 3:00,10760363.51,0,582622.964,17.5,10760363.51,188306361.4
04/01/2019 4:00,10760362.95,0,516082.184,17.5,10760362.95,188306351.6
04/01/2019 5:00,10760372.61,0,339002.725,17.5,10760372.61,188306520.6
04/01/2019 6:00,10760378.82,0,246884.989,17.5,10760378.82,188306629.4
04/01/2019 7:00,10760380.46,218572.017,220019.155,17.5,10760380.46,188306658.1
04/01/2019 8:00,10760378.98,4029075.238,440506.737,17.5,10760378.98,188306632.2
04/01/2019 9:00,10760379.6,11018516.43,666674.718,17.5,10760379.6,188306643
04/01/2019 10:00,10760387.84,18854004.25,1286149.821,17.5,10760387.84,188306787.3
04/01/2019 11:00,10760404.56,22535212.13,3414087.826,17.5,10760404.56,188307079.9
04/01/2019 12:00,10760415.24,23032989.15,6107263.309,17.5,10760415.24,188307266.7
04/01/2019 13:00,10760417.16,20268296.12,8125029.489,17.5,10760417.16,188307300.4
04/01/2019 14:00,10760409.24,14235023.78,7956930.345,17.5,10760409.24,188307161.7
04/01/2019 15:00,10760394.77,7436508.546,7531062.327,17.5,10760394.77,188306908.5
04/01/2019 16:00,10760380.72,1813591.399,7530593.429,17.5,10760380.72,188306662.5
04/01/2019 17:00,10760366.64,0,4837344.618,17.5,10760366.64,188306416.1
04/01/2019 18:00,10760351.6,0,1994180.83,17.5,10760351.6,188306153
04/01/2019 19:00,10760340.91,0,524620.992,17.5,10760340.91,188305965.9
04/01/2019 20:00,10760340.29,0,865687.641,17.5,10760340.29,188305955
